sample,     sample_coverage
DC_1,8
DC_2,43
DC_3,18
DC_4,56
FGXCONTROL,1
ML_1,189
ML_2,164
ML_3,38
ML_4,181
ML_5,165
NJ_0003,2471
NJ_0005,3317
NJ_0006,2360
NJ_0007,2442
NJ_0008,2416
NJ_0009,3192
NJ_0010,2928
NJ_0011,3282
NJ_0012,2534
NJ_0015,1568
NJ_0026,2209
NJ_0029,2244
NJ_0030,1818
NJ_0031,749
NJ_0032,2172
NJ_0033,4430
NJ_0034,2060
NJ_0035,1512
NJ_0036,2016
NJ_0037,1965
NJ_0038,2012
NJ_0039,3352
NJ_0040,3225
NJ_0041,2936
NJ_0045,2562
NJ_0047,2509
NJ_0048,2660
NJ_0049,3251
NJ_0051,2842
NJ_0052,4395
NJ_0053,4074
NJ_0054,3992
NJ_0055,3112
NJ_0056,4847
NJ_0057,1044
NJ_0058,3627
NJ_0060,925
NJ_0061,4410
NJ_0062,351
NJ_0063,2494
NJ_0064,2624
NJ_0065,752
NJ_0066,1517
NJ_0067,534
NJ_0068,2141
NJ_0069,2658
NJ_0070,3741
NJ_0071,1555
NJ_0072,4042
NJ_0073,3103
NJ_0074,5995
NJ_0075,1180
NJ_0076,932
NJ_0077,2229
NJ_0078,2239
NJ_0079,1008
NJ_0080,576
NJ_0081,1695
NJ_0082,2166
NJ_0083,1459
NJ_0084,2061
NJ_0085,1363
NJ_0086,2672
NJ_0087,2437
NJ_0088,1931
NJ_0089,1679
NM_3875,22340
NM_759,27876
NM_761,17583
NM_821,24607
NM_839,10865
NM_863,25140
NM_863D,21671
NM_864,10034
NM_864D,17715
NM_870,23892
NM_871,25585
NM_872,22772
NM_873,19894
NM_877,22584
NM_879,16677
NM_879D,20937
NM_885,22089
NM_SNBU,20906
NM_SNSA,17242
NM_SNSA,6144
